id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
5710cbc5f0ea4,23,Male,32,no,objTwoColors,#FF0000,7,10,82,5,Red      ,Red      ,0.58,0.01,0,0.13,0.14,0.2,0.33,0.33,0.15,0.33,0.33
5710cbe10cade,21,Male,15,no,objTwoColors,#FF0000,3,12,46,5,Red      ,Red      ,0.57,0.01,0,0.13,0.14,0.2,0.32,0.32,0.15,0.32,0.32
5710cc2b8a642,24,Male,16,no,objTwoColors,#FF0000,11,3,56,2,Red      ,Red      ,0.6,0.01,0.01,0.14,0.14,0.2,0.34,0.34,0.15,0.34,0.34
5710cc5a7829c,27,Male,32,no,objTwoColors,#FF0000,1,0,7,5,Red      ,Red      ,0.61,0,0,0.15,0.15,0.21,0.33,0.32,0.15,0.32,0.32
5710cd99df604,23,Female,32,no,objTwoColors,#FF0000,356,355,517,1,Red      ,Red      ,0.6,0.01,0.01,0.14,0.15,0.2,0.33,0.32,0.15,0.32,0.32
5710cd9d571f2,23,Male,8,no,objTwoColors,#FF0000,152,214,75,1,Teal     ,Blue     ,0.78,0.42,0.34,0.2,0.25,0.2,0.59,0.61,0.76,0.61,0.61
5710ce6c1308c,23,Female,32,no,objTwoColors,#FF0000,326,54,294,3,Magenta  ,Green    ,0.15,0.02,0.11,0.02,0.02,0.05,0.52,0.52,0.42,0.52,0.52
5710cf445718e,25,Male,32,no,objTwoColors,#FF0000,234,133,491,3,Blue     ,Green    ,0.38,0.42,0.33,0.21,0.26,0.18,0.97,0.97,0.94,0.97,0.97
5710d140b7c5a,26,Male,32,no,objTwoColors,#FF0000,10,0,141,3,Red      ,Red      ,0.6,0.01,0.01,0.14,0.15,0.2,0.35,0.33,0.15,0.33,0.33
5710d71ff24c3,20,Female,32,no,objTwoColors,#FF0000,342,19,476,1,Red      ,Red      ,0.48,0,0.04,0.11,0.12,0.16,0.38,0.37,0.19,0.38,0.37
5710d8d6aecd6,23,Female,7,no,objTwoColors,#FF0000,1,2,63,5,Red      ,Red      ,0.61,0,0,0.14,0.15,0.21,0.33,0.32,0.15,0.32,0.32
