id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
5710cbe10cade,objTwoColors,#FF0000,3,12,46,5,Red      ,Red      ,0.57,0.01,0,0.13,0.14,0.2,0.32,0.32,0.15,0.32,0.32
5710cc2b8a642,objTwoColors,#FF0000,11,3,56,2,Red      ,Red      ,0.6,0.01,0.01,0.14,0.14,0.2,0.34,0.34,0.15,0.34,0.34
5710cd99df604,objTwoColors,#FF0000,356,355,517,1,Red      ,Red      ,0.6,0.01,0.01,0.14,0.15,0.2,0.33,0.32,0.15,0.32,0.32
5710cd9d571f2,objTwoColors,#FF0000,152,214,75,1,Teal     ,Blue     ,0.78,0.42,0.34,0.2,0.25,0.2,0.59,0.61,0.76,0.61,0.61
5710ce6c1308c,objTwoColors,#FF0000,326,54,294,3,Magenta  ,Green    ,0.15,0.02,0.11,0.02,0.02,0.05,0.52,0.52,0.42,0.52,0.52
5710cf445718e,objTwoColors,#FF0000,234,133,491,3,Blue     ,Green    ,0.38,0.42,0.33,0.21,0.26,0.18,0.97,0.97,0.94,0.97,0.97
5710d71ff24c3,objTwoColors,#FF0000,342,19,476,1,Red      ,Red      ,0.48,0,0.04,0.11,0.12,0.16,0.38,0.37,0.19,0.38,0.37
5710d8d6aecd6,objTwoColors,#FF0000,1,2,63,5,Red      ,Red      ,0.61,0,0,0.14,0.15,0.21,0.33,0.32,0.15,0.32,0.32
5710e540a9514,objTwoColors,#FF0000,308,57,143,4,Pink     ,Green    ,0.01,0,0.2,0.05,0.04,0.01,0.65,0.66,0.56,0.66,0.66
5710ee55dcd72,objTwoColors,#FF0000,25,348,186,4,Orange   ,Red      ,0.57,0.01,0.08,0.11,0.12,0.16,0.38,0.38,0.19,0.38,0.38
5711106ab212a,objTwoColors,#FF0000,35,221,85,1,Yellow   ,Blue     ,0.78,0.32,0.15,0.09,0.17,0.09,0.36,0.38,0.54,0.38,0.38
5711148c11035,objTwoColors,#FF0000,317,59,45,2,Pink     ,Green    ,0.06,0.01,0.15,0.04,0.02,0.02,0.6,0.6,0.51,0.6,0.6
57112b9e10661,objTwoColors,#FF0000,29,344,329,2,Orange   ,Red      ,0.56,0.01,0.1,0.09,0.1,0.14,0.39,0.38,0.2,0.38,0.38
57112cb820ea5,objTwoColors,#FF0000,3,8,354,5,Red      ,Red      ,0.59,0.01,0,0.14,0.15,0.2,0.32,0.32,0.15,0.32,0.32
57112d8509632,objTwoColors,#FF0000,5,5,31,5,Red      ,Red      ,0.59,0.01,0,0.14,0.15,0.21,0.33,0.32,0.15,0.32,0.32
57112ebc85ba1,objTwoColors,#FF0000,352,8,816,1,Red      ,Red      ,0.58,0,0.02,0.14,0.14,0.2,0.34,0.33,0.15,0.33,0.33
