id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3_limegreen,distance_expectedC3_red,distance_HSV_1,distance_HSV_2,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5712c2b021f58,22,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,158,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5712c57f97f25,25,Female,31,no,twoColorsObj,#0000FF,#FFFF00,#6effa3,202,3,NA       ,0.08,0.24,0.08,0.24,0.29,0.07,0.07,0.12
5712d9bc0cae3,20,Female,7,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,223,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5713a02a13044,24,Female,32,yes,twoColorsObj,#0000FF,#FFFF00,#91c01d,151,3,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
5713aa57bebec,24,Female,12,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,117,4,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
5713dd915ca28,24,Female,20,no,twoColorsObj,#0000FF,#FFFF00,#6effa3,141,2,NA       ,0.08,0.24,0.08,0.24,0.29,0.07,0.07,0.12
5713fc80c942a,23,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,297,4,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
57149713464b1,51,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#FFFFFF,0,1,NA       ,0.15,0.19,0.15,0.19,0.26,0.03,0,0.06
5714d563c6e52,49,Female,13,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,156,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
57153eb9b4bed,35,Female,31,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,110,5,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5715ea836193d,83,Female,3,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,194,1,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5716e9900f6ea,58,Female,31,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,468,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
5734d89183dab,19,Female,29,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,107,4,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5739ff85289b2,56,Female,25,yes,twoColorsObj,#0000FF,#CBFF00,#FAFF00,64,5,NA       ,0.14,0.21,0.14,0.21,0.23,0.1,0.12,0.14
573a059da0efd,31,Female,32,yes,twoColorsObj,#0000FF,#CBFF00,#998077,404,5,NA       ,0.15,0.17,0.15,0.17,0.23,0,0.03,0.05
573c783748e8b,37,Female,32,yes,twoColorsObj,#0000FF,#CBFF00,#998077,201,3,NA       ,0.15,0.17,0.15,0.17,0.23,0,0.03,0.05
573ec4275ba17,24,Female,32,yes,twoColorsObj,#0000FF,#CBFF00,#00FF9C,54,3,NA       ,0.06,0.26,0.06,0.26,0.3,0.09,0.09,0.14
5740a8b59d448,31,Female,32,yes,twoColorsObj,#0000FF,#CBFF00,#51DF00,523,4,Yellow   ,0.09,0.28,0.09,0.28,0.3,0.14,0.15,0.19
5740bda9be3dc,83,Female,32,yes,twoColorsObj,#0000FF,#CBFF00,#51DF00,300,5,Yellow   ,0.09,0.28,0.09,0.28,0.3,0.14,0.15,0.19
5740e3f36a945,49,Female,32,yes,twoColorsObj,#0000FF,#CBFF00,#00A89E,41,2,NA       ,0.12,0.24,0.12,0.24,0.31,0.08,0.06,0.11
57427cf6bad0c,19,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#80FF00,111,3,DK-Green ,0.09,0.27,0.09,0.27,0.29,0.13,0.14,0.18
574511e99b6d9,19,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,482,4,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
57451c3b38192,23,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,315,2,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5745350dc1e22,19,Female,31,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,167,3,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5745500f6e643,24,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF80,143,4,NA       ,0.06,0.27,0.06,0.27,0.3,0.1,0.11,0.16
5745b5cbe3caa,34,Female,32,no,twoColorsObj,#0000FF,#FFFF00,#00FF00,1783,1,Yellow   ,0.08,0.29,0.08,0.29,0.31,0.15,0.16,0.2
5756b2d9bd658,23,Female,32,yes,twoColorsObj,#0000FF,#CBFF00,#006C84,334,4,Cyan     ,0.17,0.24,0.17,0.24,0.33,0.11,0.08,0.12
5776cc574bf84,45,Female,21,no,twoColorsObj,#0000FF,#FFFF00,#91c01d,277,5,NA       ,0.12,0.24,0.12,0.24,0.26,0.11,0.12,0.15
