id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710ee9e58646,objTwoColors,#0000FF,314,202,601,2,Pink     ,Navy-Blue,0.39,0.01,0.31,0.03,0.05,0.08
571151812791a,objTwoColors,#0000FF,55,132,344,3,Green    ,Green    ,0.63,0.54,0.11,0.22,0.37,0.27
5713a02a13044,objTwoColors,#0000FF,199,208,611,3,Navy-Blue,NA       ,0.34,0.13,0.13,0.06,0.05,0.15
572767049ccfa,objTwoColors,#0000FF,181,239,120,4,Blue     ,Blue     ,0.28,0.09,0.07,0.05,0.05,0.14
572c85675a5ef,objTwoColors,#0000FF,225,222,151,5,Blue     ,Blue     ,0.51,0.03,0.19,0.1,0.12,0.24
5739ff85289b2,objTwoColors,#0000FF,310,173,7,1,Pink     ,Green    ,0.45,0.01,0.26,0.04,0,0.02
573a059da0efd,objTwoColors,#0000FF,300,210,557,3,Pink     ,Blue     ,0.4,0.01,0.27,0.03,0.07,0.13
573c70dabcfe0,objTwoColors,#0000FF,111,63,335,3,Green    ,Green    ,0.58,0.53,0.03,0.21,0.38,0.29
573c783748e8b,objTwoColors,#0000FF,350,216,190,3,Red      ,Blue     ,0.56,0.1,0.33,0.12,0.07,0.08
573e47c26cb8e,objTwoColors,#0000FF,305,230,260,2,Pink     ,Blue     ,0.44,0.04,0.3,0.05,0.1,0.16
573edae85268b,objTwoColors,#0000FF,242,320,1074,3,Blue     ,Pink     ,0.41,0.1,0.34,0.07,0.09,0.14
5740a8b59d448,objTwoColors,#0000FF,232,300,810,3,Blue     ,Pink     ,0.35,0.04,0.27,0.05,0.1,0.18
5740ad339507d,objTwoColors,#0000FF,3,204,61,4,Red      ,Navy-Blue,0.56,0.11,0.33,0.13,0.11,0.1
5740b0f8e9734,objTwoColors,#0000FF,317,192,287,5,Pink     ,Sky-Blue ,0.4,0.01,0.31,0.03,0.01,0.04
5740b686127bb,objTwoColors,#0000FF,234,311,204,4,Blue     ,Pink     ,0.34,0.06,0.29,0.05,0.1,0.16
5740bda9be3dc,objTwoColors,#0000FF,262,227,224,5,Blue     ,Blue     ,0.52,0.01,0.26,0.1,0.14,0.24
5740e3f36a945,objTwoColors,#0000FF,240,307,251,2,Blue     ,Pink     ,0.32,0.06,0.32,0.05,0.1,0.17
574859b8f3379,objTwoColors,#0000FF,243,285,460,3,Blue     ,Purple   ,0.43,0.03,0.3,0.06,0.12,0.21
5756ab1701ba0,objTwoColors,#0000FF,57,113,155,5,Green    ,Green    ,0.65,0.53,0.1,0.22,0.38,0.28
5756ae6897296,objTwoColors,#0000FF,2,321,113,5,Red      ,Pink     ,0.48,0.48,0.33,0.25,0.33,0.25
5756b2d9bd658,objTwoColors,#0000FF,214,300,154,4,Blue     ,Pink     ,0.29,0.01,0.16,0.03,0.08,0.14
57581518c2c07,objTwoColors,#0000FF,59,123,256,5,Green    ,Green    ,0.65,0.54,0.1,0.22,0.38,0.28
