Row,centroid_HSV_1,centroid_HSV_2,distance_centroid_HSV,centroid_LCh_1,centroid_LCh_2,distance_centroid_LCh,centroid_CMYK_1,centroid_CMYK_2,distance_centroid_CMYK,centroid_RGB_1,centroid_RGB_2,distance_centroid_RGB,centroid_Lab_1,centroid_Lab_2,distance_centroid_Lab
Laboratory Users,0.23,0.19,0.15,0.36,0.41,0.18,0.34,0.3,0.05,0.26,0.23,0.03,0.29,0.24,0.04
Online Users (Regular),0.21,0.17,0.12,0.27,0.44,0.15,0.28,0.28,0.02,0.22,0.19,0.02,0.23,0.2,0.11
Online Users (Uncalibrated),0.29,0.14,0.15,0.41,0.38,0.21,0.39,0.28,0.08,0.33,0.19,0.08,0.35,0.22,0.07
Users aged Less Than 20 Years,0.24,0.14,0.11,0.29,0.43,0.15,0.31,0.26,0.02,0.25,0.16,0.04,0.26,0.16,0.13
Users aged Between 20 and 29 Years,0.26,0.18,0.15,0.31,0.39,0.13,0.34,0.29,0.04,0.27,0.2,0.03,0.3,0.21,0.06
Users aged Between 30 and 39 Years,0.22,0.11,0.08,0.36,0.43,0.19,0.33,0.27,0.02,0.25,0.15,0.05,0.27,0.17,0.11
Users aged Between 40 and 49 Years,0.25,0.24,0.2,0.3,0.4,0.13,0.35,0.34,0.07,0.28,0.29,0.1,0.31,0.3,0.03
Users aged Between 50 and 59 Years,0.27,0.17,0.15,0.39,0.31,0.17,0.4,0.32,0.1,0.32,0.25,0.09,0.37,0.28,0.06
Users aged Above 60 Years,0.25,0.22,0.18,0.36,0.36,0.15,0.35,0.33,0.06,0.29,0.27,0.09,0.32,0.28,0.01
Female Users,0.25,0.16,0.13,0.34,0.4,0.15,0.34,0.28,0.04,0.27,0.19,0.03,0.3,0.21,0.07
Male Users,0.25,0.18,0.15,0.31,0.4,0.13,0.34,0.3,0.04,0.27,0.21,0.03,0.3,0.22,0.05
Other Gender Users,0.16,0.08,0.02,0.25,0.49,0.2,0.23,0.21,0.1,0.16,0.09,0.13,0.16,0.08,0.24
