id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8,distance_pair9,distance_pair10,distance_pair11
571247f66fb51,27,Male,32,no,objTwoColors,#80FF00,94,105,268,5,Green    ,Green    ,0.63,0.02,0.29,0.12,0.23,0.22,0.15,0.17,0.23,0.18,0.17,0.68,0.37,0.37,0.5,0.39,0.37
571260c120253,22,Male,32,no,objTwoColors,#80FF00,172,57,147,2,Green    ,Green    ,0.63,0.04,0.17,0.06,0.12,0.11,0.24,0.25,0.18,0.25,0.25,0.33,0.02,0.03,0.13,0.02,0.03
57127bcfaafb0,22,Female,32,no,objTwoColors,#80FF00,50,194,206,4,Green    ,Sky-Blue ,0.37,0.05,0.19,0.05,0.08,0.08,0.5,0.52,0.51,0.53,0.52,0.84,0.56,0.57,0.67,0.58,0.57
5712bd55a8a13,27,Female,32,no,objTwoColors,#80FF00,57,204,201,3,Green    ,Navy-Blue,0.46,0.04,0.21,0.04,0.07,0.09,0.53,0.55,0.53,0.55,0.55,0.9,0.61,0.62,0.72,0.62,0.62
5712c2b021f58,22,Female,32,no,objTwoColors,#80FF00,182,55,116,5,Blue     ,Green    ,0.64,0.05,0.15,0.06,0.12,0.1,0.3,0.32,0.24,0.31,0.32,0.28,0.08,0.08,0.07,0.07,0.08
5712c57f97f25,25,Female,31,no,objTwoColors,#80FF00,121,0,166,4,Green    ,Red      ,0.82,0.1,0.31,0.1,0.15,0.1,0.3,0.3,0.33,0.28,0.3,0.83,0.52,0.52,0.6,0.5,0.52
5713923c1bbc7,24,Female,27,no,objTwoColors,#80FF00,351,290,845,2,Red      ,Navy-Blue,0.26,0.37,0.19,0.14,0.17,0.17,0.8,0.82,0.78,0.81,0.82,0.93,0.78,0.78,0.81,0.78,0.78
5713a02a13044,24,Female,32,yes,objTwoColors,#80FF00,113,0,195,4,Green    ,Red      ,0.82,0.12,0.31,0.1,0.16,0.1,0.3,0.3,0.33,0.28,0.3,0.83,0.52,0.52,0.59,0.5,0.52
5713aa57bebec,24,Female,12,no,objTwoColors,#80FF00,0,77,118,4,Red      ,Yellow   ,0.21,0.21,0.25,0.11,0.17,0.09,0.48,0.49,0.49,0.5,0.49,0.62,0.46,0.46,0.53,0.47,0.46
5713d766113e9,21,Male,4,no,objTwoColors,#80FF00,203,54,478,5,Navy-Blue,Green    ,0.7,0.04,0.19,0.04,0.07,0.09,0.43,0.44,0.36,0.43,0.44,0.15,0.2,0.2,0.08,0.19,0.2
