id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57112e639a100,18,Male,5,no,twoColorsObj,#00FFFF,#FFFF00,#00FF00,20,4,Yellow   ,0.09,0.09,0.07,0.1,0.04,0.06
57112ebc85ba1,18,Female,32,no,twoColorsObj,#00FFFF,#FFFF00,#80FF00,109,5,DK-Green ,0.11,0.11,0.08,0.09,0.05,0.05
57112efa50be6,19,Male,7,no,twoColorsObj,#00FFFF,#FFFF00,#46ff9c,392,3,NA       ,0.15,0.15,0.05,0.02,0.07,0.03
5711348e42f02,19,Female,32,no,twoColorsObj,#00FFFF,#FFFF00,#00FF80,215,4,NA       ,0.12,0.12,0.04,0.04,0.04,0.02
57113ce1334e0,19,Female,12,no,twoColorsObj,#00FFFF,#FFFF00,#00FF00,432,4,Yellow   ,0.09,0.09,0.07,0.1,0.04,0.06
57113d4d93c81,18,Female,32,no,twoColorsObj,#00FFFF,#FFFF00,#B1FF00,142,4,NA       ,0.14,0.14,0.1,0.09,0.07,0.05
5711703bd85fc,18,Female,32,no,twoColorsObj,#00FFFF,#FFFF00,#FF0050,2,1,NA       ,0.31,0.31,0.24,0.19,0.24,0.19
5712787a337a9,18,Female,7,no,twoColorsObj,#00FFFF,#FFFF00,#FFFFFF,0,4,NA       ,0.23,0.23,0.12,0.07,0.15,0.1
5712a254e00f7,18,Female,18,no,twoColorsObj,#00FFFF,#FFFF00,#00FF00,157,4,Yellow   ,0.09,0.09,0.07,0.1,0.04,0.06
5734d89183dab,19,Female,29,no,twoColorsObj,#00FFFF,#FFFF00,#80FF00,92,4,DK-Green ,0.11,0.11,0.08,0.09,0.05,0.05
5736048bb110b,19,Male,32,no,twoColorsObj,#00FFFF,#FFFF00,#aeff00,91,5,NA       ,0.13,0.13,0.09,0.09,0.07,0.05
573634984323e,19,Male,32,no,twoColorsObj,#00FFFF,#FFFF00,#46ff9c,111,3,NA       ,0.15,0.15,0.05,0.02,0.07,0.03
57366c199283c,19,Male,32,no,twoColorsObj,#00FFFF,#FFFF00,#00FF80,128,4,NA       ,0.12,0.12,0.04,0.04,0.04,0.02
57427cf6bad0c,19,Female,32,no,twoColorsObj,#00FFFF,#FFFF00,#46ff9c,6,3,NA       ,0.15,0.15,0.05,0.02,0.07,0.03
574511e99b6d9,19,Female,32,no,twoColorsObj,#00FFFF,#FFFF00,#80FF00,180,5,DK-Green ,0.11,0.11,0.08,0.09,0.05,0.05
5745350dc1e22,19,Female,31,no,twoColorsObj,#00FFFF,#FFFF00,#80FF00,219,5,DK-Green ,0.11,0.11,0.08,0.09,0.05,0.05
5745c1c07cc0c,18,Other,31,no,twoColorsObj,#00FFFF,#FFFF00,#6effa3,138,4,NA       ,0.16,0.16,0.06,0.01,0.08,0.03
5745f6f039dc9,15,Male,33,no,twoColorsObj,#00FFFF,#FFFF00,#FFFFFF,0,4,NA       ,0.23,0.23,0.12,0.07,0.15,0.1
5710cbc5f0ea4,23,Male,32,no,twoColorsObj,#00FFFF,#FFFF00,#46ff9c,147,5,NA       ,0.15,0.15,0.05,0.02,0.07,0.03
5710cc5a7829c,27,Male,32,no,twoColorsObj,#00FFFF,#FFFF00,#c9ab00,51,5,NA       ,0.19,0.19,0.14,0.11,0.13,0.09
