id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57112ce735a14,19,Male,6,no,twoColorsObj,#00FF00,#0000FF,#00FFFF,420,3,NA       ,0.04,0.04,0.12,0.06,0.04,0.04
57112ebc85ba1,18,Female,32,no,twoColorsObj,#00FF00,#0000FF,#91c01d,160,2,NA       ,0.18,0.18,0.27,0.22,0.18,0.17
5711348e42f02,19,Female,32,no,twoColorsObj,#00FF00,#0000FF,#46ff9c,121,4,NA       ,0.11,0.11,0.2,0.15,0.11,0.11
57113ce1334e0,19,Female,12,no,twoColorsObj,#00FF00,#0000FF,#808000,479,2,NA       ,0.19,0.19,0.27,0.22,0.19,0.16
57113d4d93c81,18,Female,32,no,twoColorsObj,#00FF00,#0000FF,#7f00ff,29,4,NA       ,0.16,0.16,0.07,0.12,0.16,0.15
5711703bd85fc,18,Female,32,no,twoColorsObj,#00FF00,#0000FF,#5792ff,1,5,Sky-Blue ,0.09,0.09,0.03,0.06,0.09,0.08
57127cb3ab1fe,1,Male,12,no,twoColorsObj,#00FF00,#0000FF,#008080,1478,2,NA       ,0.04,0.04,0.12,0.06,0.04,0.04
5712a254e00f7,18,Female,18,no,twoColorsObj,#00FF00,#0000FF,#91c01d,219,3,NA       ,0.18,0.18,0.27,0.22,0.18,0.17
5734d89183dab,19,Female,29,no,twoColorsObj,#00FF00,#0000FF,#008080,85,4,NA       ,0.04,0.04,0.12,0.06,0.04,0.04
5736048bb110b,19,Male,32,no,twoColorsObj,#00FF00,#0000FF,#FFFF00,321,5,NA       ,0.19,0.19,0.27,0.22,0.19,0.16
573634984323e,19,Male,32,no,twoColorsObj,#00FF00,#0000FF,#46ff9c,91,4,NA       ,0.11,0.11,0.2,0.15,0.11,0.11
57366c199283c,19,Male,32,no,twoColorsObj,#00FF00,#0000FF,#B000FF,76,1,NA       ,0.15,0.15,0.07,0.11,0.15,0.12
